par_num,packtype,selfsnapple,selfish,reward,include1,data_source
234,1,0,0,1,1,0
236,1,1,1,1,1,0
238,1,0,1,2,1,0
241,1,1,0,2,1,0
243,1,0,0,1,1,0
245,1,1,0,2,1,0
247,1,0,0,1,1,0
249,1,1,0,2,1,0
251,1,0,0,1,1,0
253,1,0,0,1,1,0
255,1,1,1,1,1,0
257,1,0,1,2,1,0
259,1,1,1,1,1,0
261,1,0,1,2,1,0
263,1,1,0,2,1,0
265,1,0,1,2,1,0
267,1,1,1,1,1,0
269,1,0,1,2,1,0
271,1,1,1,1,1,0
273,1,0,1,2,1,0
275,1,1,1,1,1,0
277,1,0,0,1,1,0
279,1,1,1,1,1,0
281,1,0,0,1,1,0
283,1,1,1,1,1,0
285,1,0,0,1,1,0
287,1,1,0,2,1,0
289,1,0,0,1,1,0
293,1,0,1,2,1,0
295,1,1,1,1,1,0
296,1,0,0,1,1,0
298,1,1,1,1,1,0
300,1,0,0,1,1,0
302,1,1,1,1,1,0
304,1,0,0,1,1,0
306,1,1,1,1,1,0
308,1,0,0,1,1,0
310,1,1,0,2,1,0
312,1,0,0,1,1,0
314,1,1,0,2,1,0
316,1,0,1,2,1,0
318,1,1,0,2,1,0
320,1,0,0,1,1,0
322,1,1,0,2,1,0
324,1,0,0,1,1,0
326,1,1,0,2,1,0
328,1,0,1,2,1,0
332,1,0,1,2,1,0
334,1,1,0,2,1,0
336,1,0,1,2,1,0
338,1,1,0,2,1,0
340,1,0,0,1,1,0
342,1,1,1,1,1,0
344,1,0,1,2,1,0
346,1,1,1,1,1,0
348,1,0,0,1,1,0
350,1,1,1,1,1,0
352,1,0,0,1,1,0
354,1,1,1,1,1,0
356,1,1,1,1,1,0
358,1,0,1,2,1,0
360,1,1,1,1,1,0
362,1,0,0,1,1,0
364,1,1,1,1,1,0
366,1,0,0,1,1,0
368,1,1,1,1,1,0
370,1,0,0,1,1,0
372,1,1,0,2,1,0
374,1,0,0,1,1,0
376,1,1,1,1,1,0
378,1,0,1,2,1,0
380,1,1,1,1,1,0
382,1,0,1,2,1,0
384,1,1,0,2,1,0
105,0,1,0,2,0,0
129,0,1,1,1,0,0
195,0,1,,,0,0
264,0,1,,,0,0
102,0,1,0,2,1,0
104,0,0,0,1,1,0
107,0,0,1,2,1,0
109,0,1,1,1,1,0
111,0,0,1,2,1,0
113,0,1,0,2,1,0
115,0,0,1,2,1,0
117,0,1,0,2,1,0
118,0,0,0,1,1,0
121,0,1,0,2,1,0
123,0,0,1,2,1,0
125,0,1,0,2,1,0
127,0,0,0,1,1,0
132,0,0,0,1,1,0
133,0,1,0,2,1,0
135,0,0,0,1,1,0
137,0,1,0,2,1,0
139,0,0,1,2,1,0
141,0,1,1,1,1,0
143,0,0,1,2,0,0
145,0,1,1,1,1,0
147,0,0,0,1,1,0
149,0,1,1,1,1,0
151,0,0,0,1,1,0
153,0,1,0,2,1,0
155,0,0,0,1,1,0
157,0,1,1,1,1,0
158,0,0,0,1,0,0
161,0,1,0,2,1,0
163,0,0,0,1,1,0
165,0,1,1,1,0,0
167,0,0,0,1,1,0
169,0,1,0,2,1,0
172,0,1,1,1,1,0
174,0,0,0,1,1,0
176,0,1,0,2,1,0
177,0,0,1,2,1,0
179,0,1,0,2,1,0
180,0,0,0,1,1,0
182,0,1,1,1,1,0
184,0,0,1,2,1,0
186,0,1,1,1,1,0
188,0,0,0,1,1,0
190,0,1,1,1,1,0
192,0,0,0,1,1,0
1710,0,0,0,1,1,0
1920,0,1,0,2,1,0
2950,0,1,1,1,1,0
198,0,1,0,2,1,0
200,0,0,1,2,1,0
202,0,1,0,2,1,0
204,0,0,0,1,1,0
206,0,1,0,2,1,0
208,0,0,0,1,1,0
210,0,1,0,2,1,0
212,0,0,0,1,1,0
214,0,1,1,1,1,0
216,0,0,1,2,1,0
218,0,1,1,1,1,0
220,0,0,1,2,1,0
