"","par_num","selfish","packtype","include1"
"353",522,0,0,1
"354",612,0,1,1
"355",613,1,1,1
"356",614,0,0,1
"357",622,1,0,1
"358",712,0,1,1
"359",713,0,1,1
"360",812,0,1,1
"361",813,1,1,1
"362",814,1,0,1
"363",822,1,0,1
"364",912,0,1,1
"365",914,1,0,1
"366",1012,0,1,1
"367",1013,0,1,1
"368",1022,1,0,1
"369",1112,1,1,1
"370",1113,1,1,1
"371",1114,1,0,1
"372",1122,0,0,1
"373",1213,1,1,1
"374",1214,1,0,1
"375",1222,1,0,1
"376",1312,1,1,1
"377",1313,0,1,1
"378",1322,0,0,1
"379",1412,0,1,1
"380",1413,1,1,1
"381",1414,0,0,1
"382",1512,0,1,1
"383",1513,0,1,1
"384",1514,1,0,1
"385",1612,1,1,1
"386",1614,1,0,1
"387",1622,0,0,1
"388",1712,1,1,1
"389",1713,1,1,1
"390",1714,1,0,1
"391",1722,0,0,1
"392",1813,1,1,1
"393",1814,1,0,1
"394",1822,0,0,1
"395",1912,1,1,1
"396",1913,1,1,1
"397",1914,1,0,1
"398",1922,0,0,1
"399",2012,0,1,1
"400",2013,1,1,1
"401",2022,0,0,1
"402",2112,0,1,1
"403",2113,1,1,1
"404",2122,0,0,1
"405",2144,0,0,1
"406",2212,0,1,1
"407",2213,1,1,1
"408",2214,0,0,1
"409",2222,1,0,1
"410",2312,0,1,1
"411",2313,0,1,1
"412",2314,0,0,1
"413",2322,0,0,1
"414",2412,1,1,1
"415",2414,1,0,1
"416",2422,0,0,1
"417",2512,1,1,1
"418",2513,1,1,1
"419",2514,1,0,1
"420",2522,1,0,1
"421",2612,0,1,1
"422",2613,0,1,1
"423",2614,1,0,1
"424",2622,1,0,1
"425",2712,1,1,1
"426",2713,0,1,1
"427",2714,0,0,1
"428",2722,0,0,1
"429",2812,1,1,1
"430",2814,0,0,1
"431",2822,1,0,1
"432",2912,1,1,1
"433",2913,0,1,1
"434",2914,1,0,1
"435",2922,0,0,1
"436",3012,0,1,1
"437",3013,1,1,1
"438",3014,0,0,1
"439",3022,1,0,1
"440",3112,1,1,1
"441",3113,0,1,1
"442",3114,1,0,1
"443",3122,0,0,1
"444",3212,1,1,1
"445",3213,1,1,1
"446",3214,1,0,1
"447",3312,0,1,1
"448",3313,1,1,1
"449",3314,1,0,1
